12,21,1,2018-03-18
11,22,0.5,2018-03-18
12,19,1,2018-03-18
11,19,0.5,2018-03-18
19,10,1,2018-03-18
21,2,0.5,2018-03-18
82,87,1,2018-03-25
81,80,1,2018-03-25
48,90,1,2018-03-25
43,86,1,2018-03-25
42,83,1,2018-03-25
81,40,1,2018-03-25
31,90,1,2018-03-25
31,83,1,2018-03-25
26,82,1,2018-03-25
23,81,0.5,2018-03-25
40,60,1,2018-03-25
43,54,1,2018-03-25
35,60,1,2018-03-25
12,82,1,2018-03-25
10,81,1,2018-03-25
48,42,1,2018-03-25
23,66,0.5,2018-03-25
39,48,1,2018-03-25
26,59,1,2018-03-25
16,62,0.5,2018-03-25
9,66,1,2018-03-25
28,45,1,2018-03-25
12,59,0.5,2018-03-25
36,32,1,2018-03-25
20,48,1,2018-03-25
36,31,1,2018-03-25
4,62,1,2018-03-25
40,25,1,2018-03-25
48,17,1,2018-03-25
28,36,1,2018-03-25
21,43,0.5,2018-03-25
39,23,1,2018-03-25
22,39,1,2018-03-25
16,45,0.5,2018-03-25
21,35,0.5,2018-03-25
15,40,1,2018-03-25
23,30,0.5,2018-03-25
20,31,1,2018-03-25
15,35,1,2018-03-25
8,42,1,2018-03-25
7,43,1,2018-03-25
23,26,0.5,2018-03-25
17,32,1,2018-03-25
39,9,1,2018-03-25
7,39,0.5,2018-03-25
23,20,1,2018-03-25
13,30,1,2018-03-25
11,28,1,2018-03-25
15,22,1,2018-03-25
11,25,1,2018-03-25
0,36,1,2018-03-25
11,24,1,2018-03-25
13,21,1,2018-03-25
22,12,1,2018-03-25
10,24,1,2018-03-25
11,22,1,2018-03-25
14,17,1,2018-03-25
8,23,1,2018-03-25
2,28,1,2018-03-25
2,26,1,2018-03-25
13,14,1,2018-03-25
14,12,0.5,2018-03-25
10,13,1,2018-03-25
7,16,0.5,2018-03-25
8,14,1,2018-03-25
15,7,1,2018-03-25
7,15,0.5,2018-03-25
11,10,1,2018-03-25
12,9,0.5,2018-03-25
0,20,1,2018-03-25
6,11,1,2018-03-25
4,13,1,2018-03-25
7,8,0.5,2018-03-25
4,11,1,2018-03-25
0,15,1,2018-03-25
7,6,1,2018-03-25
4,8,1,2018-03-25
4,7,1,2018-03-25
0,10,1,2018-03-25
2,6,1,2018-03-25
2,4,0.5,2018-03-25
4,2,1,2018-03-25
0,4,1,2018-03-25
0,2,1,2018-03-25
45,56,1,2018-04-01
38,56,1,2018-04-01
38,45,1,2018-04-01
45,38,0.5,2018-04-01
45,38,1,2018-04-01
62,78,1,2018-04-07
50,74,1,2018-04-07
52,70,1,2018-04-07
59,62,1,2018-04-07
47,59,1,2018-04-07
44,62,1,2018-04-07
29,59,1,2018-04-07
7,74,1,2018-04-07
28,52,0.5,2018-04-07
29,44,1,2018-04-07
42,28,1,2018-04-07
47,23,1,2018-04-07
47,23,0.5,2018-04-07
23,44,0.5,2018-04-07
20,47,1,2018-04-07
20,47,0.5,2018-04-07
28,36,0.5,2018-04-07
3,52,1,2018-04-07
21,28,1,2018-04-07
29,20,1,2018-04-07
20,29,0.5,2018-04-07
20,29,1,2018-04-07
7,42,0.5,2018-04-07
3,42,1,2018-04-07
11,31,1,2018-04-07
0,36,1,2018-04-07
21,7,1,2018-04-07
21,7,0.5,2018-04-07
3,21,1,2018-04-07
0,21,0.5,2018-04-07
7,11,0.5,2018-04-07
0,11,1,2018-04-07
3,0,1,2018-04-07
0,3,0.5,2018-04-07
0,3,1,2018-04-07
49,67,1,2018-04-14
49,48,1,2018-04-14
33,49,1,2018-04-14
23,58,0.5,2018-04-14
31,48,1,2018-04-14
25,49,1,2018-04-14
16,58,1,2018-04-14
33,31,1,2018-04-14
33,25,1,2018-04-14
23,31,0.5,2018-04-14
16,33,0.5,2018-04-14
16,33,1,2018-04-14
25,23,1,2018-04-14
25,23,0.5,2018-04-14
16,25,1,2018-04-14
23,25,1,2018-04-15
16,25,1,2018-04-15
16,23,1,2018-04-15
23,16,0.5,2018-04-15
16,23,1,2018-04-15
25,12,1,2018-04-15
23,12,0.5,2018-04-15
87,86,1,2018-04-21
87,81,1,2018-04-21
71,94,0.5,2018-04-21
77,81,1,2018-04-21
53,90,0.5,2018-04-21
87,53,0.5,2018-04-21
57,71,1,2018-04-21
51,77,1,2018-04-21
39,87,0.5,2018-04-21
39,86,0.5,2018-04-21
30,90,1,2018-04-21
62,51,1,2018-04-21
17,94,1,2018-04-21
51,53,1,2018-04-21
62,39,1,2018-04-21
16,82,1,2018-04-21
29,66,1,2018-04-21
11,82,0.5,2018-04-21
29,62,0.5,2018-04-21
3,87,1,2018-04-21
29,59,1,2018-04-21
25,57,1,2018-04-21
32,49,1,2018-04-21
3,77,1,2018-04-21
36,43,1,2018-04-21
22,57,1,2018-04-21
57,21,1,2018-04-21
41,35,1,2018-04-21
22,52,1,2018-04-21
52,21,0.5,2018-04-21
29,39,0.5,2018-04-21
25,41,1,2018-04-21
3,62,1,2018-04-21
12,52,0.5,2018-04-21
14,49,1,2018-04-21
25,36,1,2018-04-21
30,29,1,2018-04-21
30,29,0.5,2018-04-21
14,41,1,2018-04-21
41,11,1,2018-04-21
9,43,1,2018-04-21
16,32,0.5,2018-04-21
12,36,0.5,2018-04-21
24,20,1,2018-04-21
32,10,0.5,2018-04-21
16,25,0.5,2018-04-21
24,16,1,2018-04-21
16,24,0.5,2018-04-21
6,32,1,2018-04-21
16,17,0.5,2018-04-21
3,30,0.5,2018-04-21
3,30,1,2018-04-21
12,20,0.5,2018-04-21
14,16,1,2018-04-21
20,10,1,2018-04-21
17,12,1,2018-04-21
6,22,0.5,2018-04-21
2,25,1,2018-04-21
14,12,0.5,2018-04-21
9,17,1,2018-04-21
2,24,1,2018-04-21
6,19,0.5,2018-04-21
2,22,1,2018-04-21
9,14,0.5,2018-04-21
9,14,1,2018-04-21
14,6,1,2018-04-21
12,6,0.5,2018-04-21
6,11,0.5,2018-04-21
2,9,1,2018-04-21
9,2,0.5,2018-04-21
2,9,1,2018-04-21
53,42,1,2018-04-29
53,22,1,2018-04-29
42,32,1,2018-04-29
53,17,1,2018-04-29
17,53,0.5,2018-04-29
22,42,1,2018-04-29
10,53,1,2018-04-29
32,23,1,2018-04-29
21,22,1,2018-04-29
11,32,1,2018-04-29
17,23,0.5,2018-04-29
17,21,0.5,2018-04-29
21,17,1,2018-04-29
17,19,0.5,2018-04-29
21,11,1,2018-04-29
21,10,1,2018-04-29
10,19,1,2018-04-29
17,11,0.5,2018-04-29
17,10,0.5,2018-04-29
48,22,0.5,2018-05-06
15,48,0.5,2018-05-06
21,39,0.5,2018-05-06
7,48,0.5,2018-05-06
0,48,0.5,2018-05-06
6,39,0.5,2018-05-06
3,39,0.5,2018-05-06
0,39,0.5,2018-05-06
15,21,0.5,2018-05-06
11,22,0.5,2018-05-06
8,22,0.5,2018-05-06
7,21,0.5,2018-05-06
9,15,0.5,2018-05-06
8,15,0.5,2018-05-06
2,21,0.5,2018-05-06
1,22,0.5,2018-05-06
4,15,0.5,2018-05-06
11,7,0.5,2018-05-06
9,8,0.5,2018-05-06
6,11,0.5,2018-05-06
2,11,0.5,2018-05-06
5,7,0.5,2018-05-06
3,9,0.5,2018-05-06
1,11,0.5,2018-05-06
5,6,0.5,2018-05-06
5,6,0.5,2018-05-06
4,7,0.5,2018-05-06
6,4,0.5,2018-05-06
2,8,0.5,2018-05-06
1,9,0.5,2018-05-06
6,3,0.5,2018-05-06
1,8,0.5,2018-05-06
0,9,0.5,2018-05-06
3,5,0.5,2018-05-06
8,0,0.5,2018-05-06
5,2,0.5,2018-05-06
1,6,0.5,2018-05-06
